,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
236,Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi            ",8.1,90,"973,372",$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",R
237,Gran Torino,2008,116 min,Drama            ,8.1,72,"763,738",$148.10M,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",R
238,Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Fantasy, Mystery            ",8.1,85,"849,970",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",PG-13
239,Hachi: A Dog's Tale,2009,93 min,"Biography, Drama, Family            ",8.1,None,"278,909",#233,A college professor bonds with an abandoned dog he takes into his home.,G
240,Mary and Max,2009,92 min,"Animation, Comedy, Drama            ",8.1,None,"175,436",#204,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Not Rated
241,How to Train Your Dragon,2010,98 min,"Animation, Action, Adventure            ",8.1,75,"722,809",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",PG
242,Let's Go! India,2007,153 min,"Drama, Family, Sport            ",8.1,68,"79,338",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Not Rated
243,Into the Wild,2007,148 min,"Adventure, Biography, Drama            ",8.1,73,"613,779",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",R
244,Color It Yellow,2006,167 min,"Comedy, Crime, Drama            ",8.1,None,"118,302",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Not Rated
245,Million Dollar Baby,2004,132 min,"Drama, Sport            ",8.1,86,"677,143",$100.49M,A determined woman works with a hardened boxing trainer to become a professional.,PG-13
246,Hotel Rwanda,2004,121 min,"Biography, Drama, History            ",8.1,79,"351,883",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",PG-13
247,Ratatouille,2007,111 min,"Animation, Adventure, Comedy            ",8.1,96,"707,968",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,G
248,Before Sunset,2004,80 min,"Drama, Romance            ",8.1,90,"258,205",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",R
249,Black,2005,122 min,Drama            ,8.1,None,"34,811",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",Not Rated
250,Munna Bhai M.B.B.S.,2003,156 min,"Comedy, Drama            ",8.1,None,"80,604",None,A gangster sets out to fulfill his father's dream of becoming a doctor.,Not Rated
251,Swades,2004,189 min,"Drama, Musical            ",8.1,None,"89,317",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Not Rated
252,Memories of Murder,2003,132 min,"Crime, Drama, Mystery            ",8.1,82,"174,774",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Not Rated
253,Dil Chahta Hai,2001,183 min,"Comedy, Drama, Romance            ",8.1,None,"71,403",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Not Rated
254,Catch Me If You Can,2002,141 min,"Biography, Crime, Drama            ",8.1,75,"943,753",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",PG-13
255,Her Sey Çok Güzel Olacak,1998,107 min,"Comedy, Drama, Thriller            ",8.1,None,"25,321",None,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »",107 min
256,Amores perros,2000,154 min,"Drama, Thriller            ",8.1,83,"237,770",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",R
257,Hera Pheri,2000,156 min,"Action, Comedy, Crime            ",8.1,None,"65,396",None,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Not Rated
258,Sarfarosh,1999,174 min,"Action, Drama, Thriller            ",8.1,None,"25,538",None,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",Not Rated
259,"Monsters, Inc.",2001,92 min,"Animation, Adventure, Comedy            ",8.1,79,"886,677",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",G
260,Lagaan: Once Upon a Time in India,2001,224 min,"Drama, Musical, Sport            ",8.1,84,"112,396",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,PG
261,The Celebration,1998,105 min,Drama            ,8.1,82,"86,217",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",R
262,The Iron Giant,1999,86 min,"Animation, Action, Adventure            ",8.1,85,"188,344",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,PG
263,The Big Lebowski,1998,117 min,"Comedy, Crime            ",8.1,71,"793,063",$17.50M,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",R
264,Trainspotting,1996,93 min,Drama            ,8.1,83,"675,807",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",R
265,Fargo,1996,98 min,"Crime, Thriller            ",8.1,85,"665,943",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,R
266,The Bandit,1996,128 min,"Crime, Drama, Thriller            ",8.1,None,"69,667",None,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Not Rated
267,Underground,1995,167 min,"Comedy, Drama, Fantasy            ",8.1,79,"58,120",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.",Not Rated
268,La Haine,1995,98 min,"Crime, Drama            ",8.1,None,"169,182",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Not Rated
269,Before Sunrise,1995,101 min,"Drama, Romance            ",8.1,77,"299,862",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",R
270,Three Colors: Red,1994,99 min,"Drama, Mystery, Romance            ",8.1,100,"101,784",$4.04M,A model discovers a retired judge is keen on invading people's privacy.,R
271,In the Name of the Father,1993,133 min,"Biography, Crime, Drama            ",8.1,84,"172,265",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,R
272,Groundhog Day,1993,101 min,"Comedy, Drama, Fantasy            ",8.1,72,"617,097",$70.91M,A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.,PG
273,Farewell My Concubine,1993,171 min,"Drama, Music, Romance            ",8.1,83,"28,454",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,R
274,Raise the Red Lantern,1991,125 min,"Drama, History, Romance            ",8.1,None,"32,348",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",PG
275,Time of the Gypsies,1988,142 min,"Comedy, Crime, Drama            ",8.1,None,"30,524",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",R
276,Dead Poets Society,1989,128 min,"Comedy, Drama            ",8.1,79,"474,588",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,PG
277,My Neighbor Totoro,1988,86 min,"Animation, Comedy, Family            ",8.1,86,"329,117",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",G
278,Stand by Me,1986,89 min,"Adventure, Drama            ",8.1,75,"394,833",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",R
279,Platoon,1986,120 min,"Drama, War            ",8.1,92,"408,093",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",R
280,Jean de Florette,1986,120 min,"Comedy, Drama, Western            ",8.1,None,"25,690",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,PG
281,The Terminator,1984,107 min,"Action, Sci-Fi            ",8.1,84,"845,125",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",R
282,Gandhi,1982,191 min,"Biography, Drama            ",8.1,79,"228,691",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,PG
283,Fanny and Alexander,1982,188 min,Drama            ,8.1,100,"63,299",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",R
284,Blade Runner,1982,117 min,"Action, Drama, Sci-Fi            ",8.1,84,"751,778",$32.87M,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",R
285,Stalker,1979,162 min,"Drama, Sci-Fi            ",8.1,None,"131,870",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Not Rated
286,Autumn Sonata,1978,99 min,"Drama, Music            ",8.1,None,"33,857",None,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",PG
287,The Deer Hunter,1978,183 min,"Drama, War            ",8.1,86,"334,575",$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,R
288,Rocky,1976,120 min,"Drama, Sport            ",8.1,70,"562,135",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,PG
289,Network,1976,121 min,Drama            ,8.1,83,"157,595",#220,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",R
290,The Message,1976,177 min,"Biography, Drama, History            ",8.1,None,"47,147",None,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,PG
291,Sholay,1975,162 min,"Action, Adventure, Comedy            ",8.1,None,"55,162",None,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Not Rated
292,Jaws,1975,124 min,"Adventure, Thriller            ",8.1,87,"585,789",$260.00M,"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",PG
293,Barry Lyndon,1975,185 min,"Adventure, Drama, War            ",8.1,89,"164,615",#194,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,PG
294,Paper Moon,1973,102 min,"Comedy, Crime, Drama            ",8.1,77,"47,085",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",PG
295,The Exorcist,1973,122 min,Horror            ,8.1,81,"394,172",$232.91M,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",R
296,Anand,1971,122 min,"Drama, Musical            ",8.1,None,"33,566",None,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Not Rated
297,Cool Hand Luke,1967,127 min,"Crime, Drama            ",8.1,92,"175,006",$16.22M,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",GP
298,Persona,1966,83 min,"Drama, Thriller            ",8.1,86,"116,152",#239,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Not Rated
299,The Sound of Music,1965,172 min,"Biography, Drama, Family            ",8.1,63,"227,939",$163.21M,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,G
300,The Battle of Algiers,1966,121 min,"Drama, War            ",8.1,96,"59,320",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Not Rated
301,The Man Who Shot Liberty Valance,1962,123 min,"Drama, Western            ",8.1,94,"75,240",None,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,Approved
302,The Virgin Spring,1960,89 min,Drama            ,8.1,None,"29,074",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Not Rated
303,Inherit the Wind,1960,128 min,"Biography, Drama, History            ",8.1,75,"29,972",None,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution.",Passed
304,The 400 Blows,1959,99 min,"Crime, Drama            ",8.1,None,"116,002",#237,"A young boy, left without attention, delves into a life of petty crime.",Not Rated
305,Ben-Hur,1959,212 min,"Adventure, Drama, History            ",8.1,90,"236,338",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",G
306,The Hidden Fortress,1958,126 min,"Action, Adventure, Drama            ",8.1,89,"38,667",None,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Not Rated
307,Wild Strawberries,1957,91 min,"Drama, Romance            ",8.1,88,"106,053",#184,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Not Rated
308,The Seventh Seal,1957,96 min,"Drama, Fantasy            ",8.1,88,"182,422",#199,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Not Rated
309,Nights of Cabiria,1957,110 min,Drama            ,8.1,None,"48,469",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Not Rated
310,Throne of Blood,1957,110 min,"Drama, History            ",8.1,None,"51,667",None,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Not Rated
311,Rififi,1955,118 min,"Crime, Drama, Thriller            ",8.1,97,"34,065",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes...",Not Rated
312,On the Waterfront,1954,108 min,"Crime, Drama, Thriller            ",8.1,91,"153,235",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Approved
313,Diabolique,1955,117 min,"Crime, Drama, Horror            ",8.1,None,"65,411",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Not Rated
314,Ace in the Hole,1951,111 min,"Drama, Film-Noir            ",8.1,72,"35,496",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Approved
315,White Heat,1949,114 min,"Action, Crime, Drama            ",8.1,None,"32,637",None,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Not Rated
316,The Third Man,1949,93 min,"Film-Noir, Mystery, Thriller            ",8.1,97,"169,870",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Approved
317,The Red Shoes,1948,135 min,"Drama, Music, Romance            ",8.1,None,"34,610",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Not Rated
318,The Best Years of Our Lives,1946,170 min,"Drama, Romance, War            ",8.1,93,"63,401",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",Approved
319,The Shop Around the Corner,1940,99 min,"Comedy, Drama, Romance            ",8.1,96,"32,647",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Not Rated
320,Rebecca,1940,130 min,"Drama, Film-Noir, Mystery            ",8.1,86,"135,521",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Approved
321,The Grapes of Wrath,1940,129 min,Drama            ,8.1,96,"91,992",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Passed
322,The Wizard of Oz,1939,102 min,"Adventure, Family, Fantasy            ",8.1,92,"391,600",$2.08M,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",PG
323,Mr. Smith Goes to Washington,1939,129 min,"Comedy, Drama            ",8.1,73,"114,644",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Passed
324,The Grand Illusion,1937,113 min,"Drama, War            ",8.1,None,"36,401",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Not Rated
325,It Happened One Night,1934,105 min,"Comedy, Romance            ",8.1,87,"102,639",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",Passed
326,All Quiet on the Western Front,1930,152 min,"Drama, War            ",8.1,91,"60,981",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Passed
327,The Circus,1928,72 min,"Comedy, Family, Romance            ",8.1,90,"33,443",None,The Tramp finds work and the girl of his dreams at a circus.,Passed
328,Sunrise,1927,94 min,"Drama, Romance            ",8.1,None,"50,749",$0.54M,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",Passed
329,Badhaai Ho,2018,124 min,"Comedy, Drama            ",8.0,None,"33,727",None,A man is embarrassed when he finds out his mother is pregnant.,Not Rated
330,Wolfwalkers,2020,103 min,"Animation, Adventure, Family            ",8.0,87,"30,768",None,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,PG
331,The Invisible Guest,2016,106 min,"Crime, Drama, Mystery            ",8.0,None,"171,433",None,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,TV-MA
332,La La Land,2016,128 min,"Comedy, Drama, Music            ",8.0,94,"567,660",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",PG-13
333,Lion,2016,118 min,"Biography, Drama            ",8.0,69,"232,998",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",PG-13
334,The Martian,2015,144 min,"Adventure, Drama, Sci-Fi            ",8.0,80,"831,226",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",PG-13
335,Mommy,I 2014,139 min,Drama            ,8.0,74,"56,180",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",R
336,Soul,2020,100 min,"Animation, Adventure, Comedy            ",8.0,83,"311,428",None,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",PG
337,Zootopia,2016,108 min,"Animation, Adventure, Comedy            ",8.0,78,"484,097",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",PG
338,Winter Sleep,2014,196 min,Drama            ,8.0,88,"51,246",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Not Rated
339,Baahubali: The Beginning,2015,159 min,"Action, Drama            ",8.0,None,"118,626",$6.74M,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Not Rated
340,The Tale of The Princess Kaguya,2013,137 min,"Animation, Drama, Family            ",8.0,89,"45,516",$1.51M,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",PG
341,Special 26,2013,144 min,"Crime, Drama, Thriller            ",8.0,None,"55,729",$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Not Rated
342,The Imitation Game,2014,114 min,"Biography, Drama, Thriller            ",8.0,71,"752,010",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",PG-13
343,Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy            ",8.0,76,"1,145,044",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,PG-13
344,Song of the Sea,2014,93 min,"Animation, Adventure, Drama            ",8.0,85,"57,598",$0.86M,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",PG
345,Blade Runner 2049,2017,164 min,"Action, Drama, Mystery            ",8.0,81,"544,193",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",R
346,Her,2013,126 min,"Drama, Romance, Sci-Fi            ",8.0,91,"595,551",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",R
347,The Revenant,2015,156 min,"Action, Adventure, Drama            ",8.0,76,"781,081",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,R
348,The Perks of Being a Wallflower,2012,103 min,"Drama, Romance            ",8.0,67,"500,028",$17.74M,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,PG-13
349,Elite Squad 2: The Enemy Within,2010,115 min,"Action, Crime, Drama            ",8.0,71,"82,620",$0.10M,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",Not Rated
350,The King's Speech,2010,118 min,"Biography, Drama, History            ",8.0,88,"672,384",$138.80M,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",R
351,Deadpool,2016,108 min,"Action, Adventure, Comedy            ",8.0,65,"1,001,777",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",R
352,A Wednesday,2008,104 min,"Action, Crime, Drama            ",8.0,None,"78,081",None,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Not Rated
353,Zack Snyder's Justice League,2021,242 min,"Action, Adventure, Fantasy            ",8.0,54,"380,330",None,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",R
354,Ip Man,2008,106 min,"Action, Biography, Drama            ",8.0,59,"221,886",None,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",R
355,Dune,2021,155 min,"Action, Adventure, Drama            ",8.0,74,"578,622",$108.33M,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,PG-13
356,Departures,2008,130 min,"Drama, Music            ",8.0,68,"51,777",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.,PG-13
357,CODA,2021,111 min,"Comedy, Drama, Music            ",8.0,74,"112,668",None,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",PG-13
358,Slumdog Millionaire,2008,120 min,"Drama, Romance            ",8.0,84,"835,057",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",R
359,Black Swan,2010,108 min,"Drama, Thriller            ",8.0,79,"748,599",$106.95M,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",R
360,Elite Squad,2007,115 min,"Action, Crime, Drama            ",8.0,33,"103,157",$0.01M,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",R
361,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi            ",8.0,69,"1,359,293",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,PG-13
362,Persepolis,2007,96 min,"Animation, Biography, Drama            ",8.0,90,"93,961",$4.45M,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,PG-13
363,"Carry On, Munna Bhai",2006,144 min,"Comedy, Drama, Romance            ",8.0,None,"46,593",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Not Rated
364,The Pursuit of Happyness,2006,117 min,"Biography, Drama            ",8.0,64,"497,612",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,PG-13
365,Blood Diamond,2006,143 min,"Adventure, Drama, Thriller            ",8.0,64,"538,711",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",R
366,The Bourne Ultimatum,2007,115 min,"Action, Mystery, Thriller            ",8.0,85,"628,576",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,PG-13
367,Nobody Knows,2004,141 min,Drama            ,8.0,88,"27,651",$0.68M,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",PG-13
368,Sin City,2005,124 min,"Crime, Thriller            ",8.0,74,"761,449",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",R
369,The Diving Bell and the Butterfly,2007,112 min,"Biography, Drama            ",8.0,92,"107,231",$5.99M,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,PG-13
370,Tae Guk Gi: The Brotherhood of War,2004,140 min,"Action, Drama, War            ",8.0,64,"39,573",$1.11M,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",R
371,G.O.R.A.,2004,127 min,"Adventure, Comedy, Sci-Fi            ",8.0,None,"62,206",None,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,127 min
372,Casino Royale,2006,144 min,"Action, Adventure, Thriller            ",8.0,80,"646,633",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",PG-13
