,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
860,Evil Dead II,1987,84 min,"Comedy, Horror            ",7.7,72,"161,563",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,R
861,Empire of the Sun,1987,153 min,"Drama, History, War            ",7.7,62,"124,227",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.,PG
862,The Name of the Rose,1986,130 min,"Drama, History, Mystery            ",7.7,54,"107,877",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,R
863,Down by Law,1986,107 min,"Comedy, Crime, Drama            ",7.7,75,"51,307",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",R
864,Blue Velvet,1986,120 min,"Crime, Drama, Mystery            ",7.7,76,"195,865",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",R
865,The Purple Rose of Cairo,1985,82 min,"Comedy, Fantasy, Romance            ",7.7,75,"51,342",$10.63M,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",PG
866,The Goonies,1985,114 min,"Adventure, Comedy, Family            ",7.7,62,"266,484",$61.50M,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,PG
867,The Color Purple,1985,154 min,Drama            ,7.7,78,"85,679",$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,PG-13
868,Zelig,1983,79 min,Comedy            ,7.7,None,"41,922",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",PG
869,The Verdict,1982,129 min,Drama            ,7.7,77,"39,948",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",R
870,Star Trek II: The Wrath of Khan,1982,113 min,"Action, Adventure, Sci-Fi            ",7.7,67,"120,060",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",PG
871,First Blood,1982,93 min,"Action, Adventure, Thriller            ",7.7,61,"247,023",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,R
872,Ordinary People,1980,124 min,Drama            ,7.7,86,"51,714",$54.80M,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",R
873,Airplane!,1980,88 min,Comedy            ,7.7,78,"234,324",$83.40M,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,PG
874,Halloween,1978,91 min,"Horror, Thriller            ",7.7,87,"266,835",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",R
875,Nashville,1975,160 min,"Comedy, Drama, Music            ",7.7,96,"26,133",$14.82M,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention.",R
876,Love and Death,1975,85 min,"Comedy, War            ",7.7,89,"38,353",None,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",PG
877,Blazing Saddles,1974,93 min,"Comedy, Western            ",7.7,73,"137,147",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",R
878,Serpico,1973,130 min,"Biography, Crime, Drama            ",7.7,81,"121,176",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,R
879,Fantastic Planet,1973,72 min,"Animation, Sci-Fi            ",7.7,73,"30,630",$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",PG
880,Badlands,1973,94 min,"Action, Crime, Drama            ",7.7,93,"72,255",None,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,PG
881,Deliverance,1972,109 min,"Adventure, Drama, Thriller            ",7.7,80,"107,114",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",R
882,Cabaret,1972,124 min,"Drama, Music, Musical            ",7.7,80,"54,378",$42.77M,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,PG
883,The French Connection,1971,104 min,"Action, Crime, Drama            ",7.7,94,"121,126",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",R
884,Dirty Harry,1971,102 min,"Action, Crime, Thriller            ",7.7,87,"154,430",$35.90M,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",R
885,Wait Until Dark,1967,108 min,Thriller            ,7.7,81,"30,413",$17.55M,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,Not Rated
886,The Dirty Dozen,1967,150 min,"Action, Adventure, War            ",7.7,73,"72,316",$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Approved
887,Bonnie and Clyde,1967,111 min,"Action, Biography, Crime            ",7.7,86,"111,673",None,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",R
888,Belle de Jour,1967,100 min,"Drama, Romance            ",7.7,None,"44,015",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,R
889,A Man for All Seasons,1966,120 min,"Biography, Drama, History            ",7.7,72,"34,357",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",G
890,Zulu,1964,138 min,"Drama, History, War            ",7.7,77,"38,976",None,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Not Rated
